Município;Bovinos;Bubalinos;Equinos;Asininos;Muares;Caprinos;Ovinos;Suínos;Galinhas, galos, frangas, frangos e pintos;Codornas;Patos, gansos, marrecos, perdizes e faisões;Perus;Avestruzes;Coelhos
São Miguel (RN);6,125461255;NA;1,903846154;1,16089613;1,181818182;7,17037037;6,628742515;3,376;32,03990964;NA;9,586666667;5,793650794;NA;2,8
São Miguel do Gostoso (RN);9,234848485;NA;1,725;1;1;19,375;12,68852459;3,857142857;27,20833333;NA;17,91666667;3,75;NA;NA
São Paulo do Potengi (RN);18,05813953;NA;2,604878049;1,234375;1,4375;7,692307692;16,75789474;5,417391304;34,58306189;NA;12,58461538;5,875;NA;NA
São Pedro (RN);31,94972067;NA;4,151515152;NA;1,379310345;21,68965517;15,06493506;6,070707071;37,24215247;NA;14,2173913;6,294117647;NA;NA
São Rafael (RN);29,14873418;NA;2,666666667;1,564885496;NA;39,16666667;32,99043062;9,360465116;31,61452514;NA;14,42553191;3,35;NA;NA
São Tomé (RN);12,5496368;NA;2,85106383;1,242424242;1,425531915;24,83471074;21,25146199;3,45398773;21,43455497;NA;8,518518519;3,424242424;NA;NA
São Vicente (RN);15,2;NA;2,133333333;1,292307692;1,744186047;19,43636364;13,828125;5,636363636;76,36125654;NA;5,615384615;NA;NA;NA
Senador Elói de Souza (RN);11,83776596;NA;2,560747664;1,428571429;1,56;8,230769231;14,24786325;3,540540541;31,7361809;NA;7,638888889;5,953488372;NA;NA
Senador Georgino Avelino (RN);11;NA;NA;NA;NA;NA;NA;NA;48,33333333;NA;NA;NA;NA;NA
Serra de São Bento (RN);7,929487179;NA;1,975609756;1,154471545;1,117647059;5,8;5,741573034;2,344262295;22,31104651;NA;6,214285714;4,310344828;NA;NA
Serra do Mel (RN);9,862385321;NA;1,965517241;1,181818182;1,222222222;13,2;44,4;4,8;40,74509804;NA;NA;NA;NA;NA
Serra Negra do Norte (RN);28,82485876;NA;3,081081081;1,418439716;1,68627451;26,25274725;25,91803279;19,18055556;42,84770115;NA;20,33333333;NA;NA;NA
Serrinha (RN);25,38489209;NA;4,490740741;1,157894737;NA;13,63157895;15,59756098;3,052631579;102,2694064;NA;9,363636364;8;NA;NA
Serrinha dos Pintos (RN);6,758139535;NA;1,545454545;1,095238095;1,12;11,33333333;13,58974359;3,841121495;29,41025641;NA;18,13333333;3,583333333;NA;NA
Severiano Melo (RN);18,41489362;NA;2,226415094;1,6875;1,388888889;28,80952381;36,70895522;6,16;32,51633987;NA;12,13333333;NA;NA;NA
Sítio Novo (RN);15,38333333;NA;2,666666667;1,75;1,183673469;19,97560976;19,19387755;3,814285714;21,44021739;NA;12,43478261;NA;NA;NA
Taboleiro Grande (RN);24,52380952;NA;2,444444444;1,580645161;1,454545455;28,77272727;49,37333333;14,0952381;46,05714286;NA;NA;NA;NA;NA
Taipu (RN);55,01895735;NA;3,691489362;1;1,523809524;5,428571429;15,53125;7,62962963;482,2098214;NA;11,69230769;NA;NA;NA
Tangará (RN);21,36585366;NA;2,823529412;1,913793103;2,031746032;50,85714286;28,7032967;5,463917526;21,40944882;NA;12,63636364;NA;NA;NA
Tenente Ananias (RN);20,90232558;NA;2,375;1,242718447;1,255813953;17,36065574;26,44210526;5,615384615;31,51470588;NA;11,12244898;3,235294118;NA;NA
Tenente Laurentino Cruz (RN);7,599009901;NA;2,138888889;1,176470588;1,388888889;9,929824561;11,2;6,141791045;30,30472103;NA;10,17391304;NA;NA;NA
Tibau do Sul (RN);39,35714286;NA;4;NA;9,4;28;12,8;NA;65;NA;NA;NA;NA;NA
Timbaúba dos Batistas (RN);32,00990099;NA;2;1,678571429;1;20,63157895;23,17948718;20,9;375,1147541;NA;NA;NA;NA;NA
Touros (RN);11,11038961;NA;2,209923664;1,0625;1,142857143;8,485714286;13,36792453;5,883561644;30,17307692;NA;13,42424242;3,951219512;NA;10,14285714
Triunfo Potiguar (RN);21,43859649;NA;2,8;2;1,25;20,60869565;37,47126437;5,916666667;44,01204819;NA;16,83333333;NA;NA;NA
Umarizal (RN);24,89171975;NA;4,492957746;2,919354839;1,214285714;35,1954023;49,66666667;12,55357143;128,4885496;NA;15;4,833333333;NA;NA
Upanema (RN);12,77672956;NA;1,722955145;1,495192308;1,209459459;34,71676301;30,95501022;6,357142857;32,8966443;8,5;9,8;4,352941176;NA;NA
Várzea (RN);32,63207547;NA;3,736842105;1,166666667;1,333333333;40,25;20,8;21,46153846;50,39215686;NA;21,6;16,83333333;NA;NA
Venha-Ver (RN);7,34591195;NA;1,318181818;1,102803738;1,178571429;7,575;6,785714286;3,228971963;34,50485437;NA;11,66666667;3,5;NA;NA
Vera Cruz (RN);37,75789474;NA;4,304347826;NA;NA;NA;10,82352941;9,1875;38,54545455;NA;NA;NA;NA;NA
Viçosa (RN);24,625;NA;3,9;1,666666667;NA;30;55,09090909;4,4;48,33333333;NA;8;NA;NA;NA
Vila Flor (RN);30,66666667;NA;2,2;NA;NA;18,5;24,75;NA;36,42857143;NA;NA;NA;NA;NA
